20211031,2021-10-31,7
20211224,2021-12-24,5
20211206,2021-12-06,1
20211229,2021-12-29,3
20211212,2021-12-12,7
20211110,2021-11-10,3
20211101,2021-11-01,1
20211029,2021-10-29,5
20211117,2021-11-17,3
20211231,2021-12-31,5
20211024,2021-10-24,7
20211203,2021-12-03,5
20211223,2021-12-23,4
20211026,2021-10-26,2
20211121,2021-11-21,7
20211218,2021-12-18,6
20211215,2021-12-15,3
20211018,2021-10-18,1
20211209,2021-12-09,4
20211204,2021-12-04,6
20211023,2021-10-23,6
20211226,2021-12-26,7
20211202,2021-12-02,4
20211025,2021-10-25,1
20211028,2021-10-28,4
20211230,2021-12-30,4
20211216,2021-12-16,4
20211213,2021-12-13,1
20211030,2021-10-30,6
20211107,2021-11-07,7
20211225,2021-12-25,6
20211228,2021-12-28,2
20211111,2021-11-11,4
20211205,2021-12-05,7
20211019,2021-10-19,2
20211022,2021-10-22,5
20211127,2021-11-27,6
20211208,2021-12-08,3
20211214,2021-12-14,2
20211219,2021-12-19,7
20211120,2021-11-20,6
20211222,2021-12-22,3
20211103,2021-11-03,3
20211201,2021-12-01,3
20211217,2021-12-17,5
20211129,2021-11-29,1
20211210,2021-12-10,5
20211017,2021-10-17,7
20211112,2021-11-12,5
20211124,2021-11-24,3
20211106,2021-11-06,6
20211104,2021-11-04,4
20211126,2021-11-26,5
20211021,2021-10-21,4
20211109,2021-11-09,2
20211221,2021-12-21,2
20211118,2021-11-18,4
20211115,2021-11-15,1
20211123,2021-11-23,2
20211207,2021-12-07,2
20211125,2021-11-25,4
20211211,2021-12-11,6
20211128,2021-11-28,7
20211113,2021-11-13,6
20211130,2021-11-30,2
20211116,2021-11-16,2
20211102,2021-11-02,2
20211119,2021-11-19,5
20211122,2021-11-22,1
20211027,2021-10-27,3
20211220,2021-12-20,1
20211114,2021-11-14,7
20211105,2021-11-05,5
20211020,2021-10-20,3
20211227,2021-12-27,1
20211108,2021-11-08,1
